date,Usage_kWh,CO2(tCO2),Lagging_Current_Power_Factor,Leading_Current_Power_Factor,NSM,WeekStatus,Day_of_week,Load_Type
1/1/2018 9:45,3.92,0,100,19.98,35100,Weekday,Monday,Light_Load
1/1/2018 10:00,3.64,0,100,21.08,36000,Weekday,Monday,Light_Load
1/1/2018 10:15,4.07,0,100,17.94,36900,Weekday,Monday,Light_Load
1/1/2018 10:30,3.71,0,100,20.19,37800,Weekday,Monday,Light_Load
1/1/2018 10:45,3.6,0,100,20.81,38700,Weekday,Monday,Light_Load
1/1/2018 11:00,4.21,0,100,17.71,39600,Weekday,Monday,Light_Load
1/1/2018 11:15,3.49,0,100,52.55,40500,Weekday,Monday,Light_Load
1/1/2018 11:30,3.46,0,100,58.31,41400,Weekday,Monday,Light_Load
1/1/2018 11:45,4,0,100,51.26,,Weekday,Monday,Light_Load
1/1/2018 12:00,3.49,0,100,60.69,43200,Weekday,Monday,Light_Load
1/1/2018 12:15,3.6,0,100,26.9,44100,Weekday,Monday,Light_Load
1/1/2018 12:30,4.25,0,100,18.06,45000,Weekday,Monday,Light_Load
1/1/2018 12:45,3.67,0,100,21.5,45900,Weekday,Monday,Light_Load
1/1/2018 13:00,3.67,0,100,21.55,46800,Weekday,Monday,Light_Load
1/1/2018 13:15,4.25,0,100,17.92,47700,Weekday,Monday,Light_Load
1/1/2018 13:30,3.64,0,100,21.25,48600,Weekday,Monday,Light_Load
1/1/2018 13:45,3.67,0,100,21.11,49500,Weekday,Monday,Light_Load
1/1/2018 14:00,4.28,0,100,17.99,50400,Weekday,Monday,Light_Load
1/1/2018 14:15,3.64,0,100,21.33,51300,Weekday,Monday,Light_Load
1/1/2018 14:30,3.78,0,100,20.28,52200,Weekday,Monday,Light_Load
1/1/2018 14:45,4.1,0,100,18.24,53100,Weekday,Monday,Light_Load
1/1/2018 15:00,3.64,0,100,21.3,54000,Weekday,Monday,Light_Load
1/1/2018 15:15,3.92,0,100,19.87,54900,Weekday,Monday,Light_Load
1/1/2018 15:30,4.1,0,100,18.86,55800,Weekday,Monday,Light_Load
1/1/2018 15:45,3.6,0,100,20.94,56700,Weekday,Monday,Light_Load
1/1/2018 16:00,3.96,0,100,19.01,57600,Weekday,Monday,Light_Load
1/1/2018 16:15,4,0,100,18.91,58500,Weekday,Monday,Light_Load
1/1/2018 16:30,3.6,0,100,20.94,59400,Weekday,Monday,Light_Load
1/1/2018 16:45,4.07,0,100,18.48,60300,Weekday,Monday,Light_Load
1/1/2018 17:00,3.82,0,100,19.52,61200,Weekday,Monday,Light_Load
1/1/2018 17:15,3.56,0,100,20.54,62100,Weekday,Monday,Light_Load
1/1/2018 17:30,4.1,0,100,17.18,63000,Weekday,Monday,Light_Load
1/1/2018 17:45,3.6,0,100,20.27,63900,Weekday,Monday,Light_Load
1/1/2018 18:00,3.6,0,100,20.32,64800,Weekday,Monday,Light_Load
1/1/2018 18:15,4,0,100,40.77,65700,Weekday,Monday,Light_Load
1/1/2018 18:30,3.42,0,100,53.01,66600,Weekday,Monday,Light_Load
1/1/2018 18:45,3.67,0,100,22.04,67500,Weekday,Monday,Light_Load
1/1/2018 19:00,4.07,0,100,17.75,68400,Weekday,Monday,Light_Load
1/1/2018 19:15,3.53,0,100,19.89,69300,Weekday,Monday,Light_Load
1/1/2018 19:30,3.85,0,100,18.25,70200,Weekday,Monday,Light_Load
1/1/2018 19:45,3.96,0,100,18.63,71100,Weekday,Monday,Light_Load
1/1/2018 20:00,3.56,0,100,20.1,72000,Weekday,Monday,Light_Load
1/1/2018 20:15,4.03,0,100,17.6,72900,Weekday,Monday,Light_Load
1/1/2018 20:30,3.74,0,100,18.79,73800,Weekday,Monday,Light_Load
1/1/2018 20:45,3.56,0,100,20.02,74700,Weekday,Monday,Light_Load
1/1/2018 21:00,4.21,0,100,17.1,75600,Weekday,Monday,Light_Load
1/1/2018 21:15,3.56,0,100,19.66,76500,Weekday,Monday,Light_Load
1/1/2018 21:30,3.53,0,100,19.86,77400,Weekday,Monday,Light_Load
1/1/2018 21:45,4.25,0,100,16.63,78300,Weekday,Monday,Light_Load
1/1/2018 22:00,3.53,0,100,19.77,79200,Weekday,Monday,Light_Load
1/1/2018 22:15,3.56,0,92.7,33.3,80100,Weekday,Monday,Light_Load
1/1/2018 22:30,3.67,0,65.71,100,81000,Weekday,Monday,Light_Load
1/1/2018 22:45,3.24,0,69.52,100,81900,Weekday,Monday,Light_Load
1/1/2018 23:00,3.53,0,68.64,100,82800,Weekday,Monday,Light_Load
1/1/2018 23:15,3.53,0,71.82,100,83700,Weekday,Monday,Light_Load
1/1/2018 23:30,3.24,0,73.94,100,84600,Weekday,Monday,Light_Load
1/1/2018 23:45,3.67,0,67.97,100,85500,Weekday,Monday,Light_Load
1/1/2018 0:00,3.42,0,70.3,100,0,Weekday,Monday,Light_Load
2/1/2018 0:15,3.2,0,71.82,100,900,Weekday,Tuesday,Light_Load
2/1/2018 0:30,3.85,0,64.1,100,1800,Weekday,Tuesday,Light_Load
2/1/2018 0:45,3.28,0,66.64,100,2700,Weekday,Tuesday,Light_Load
2/1/2018 1:00,3.35,0,68.12,100,3600,Weekday,Tuesday,Light_Load
2/1/2018 1:15,3.89,0,63.6,100,4500,Weekday,Tuesday,Light_Load
2/1/2018 1:30,3.28,0,68.07,100,5400,Weekday,Tuesday,Light_Load
2/1/2018 1:45,3.46,0,65.8,100,6300,Weekday,Tuesday,Light_Load
2/1/2018 2:00,3.78,0,61.71,100,7200,Weekday,Tuesday,Light_Load
2/1/2018 2:15,3.31,0,68.4,100,8100,Weekday,Tuesday,Light_Load
2/1/2018 2:30,3.6,0,63.67,100,9000,Weekday,Tuesday,Light_Load
2/1/2018 2:45,3.64,0,63.83,100,9900,Weekday,Tuesday,Light_Load
2/1/2018 3:00,3.28,0,66.24,100,10800,Weekday,Tuesday,Light_Load
2/1/2018 3:15,3.71,0,63.03,100,11700,Weekday,Tuesday,Light_Load
2/1/2018 3:30,3.56,0,66.21,100,12600,Weekday,Tuesday,Light_Load
2/1/2018 3:45,3.24,0,68.04,100,13500,Weekday,Tuesday,Light_Load
2/1/2018 4:00,3.89,0,64.25,100,14400,Weekday,Tuesday,Light_Load
2/1/2018 4:15,3.28,0,69.22,100,15300,Weekday,Tuesday,Light_Load
2/1/2018 4:30,3.28,0,68.48,100,16200,Weekday,Tuesday,Light_Load
2/1/2018 4:45,3.96,0,64.59,100,17100,Weekday,Tuesday,Light_Load
2/1/2018 5:00,3.24,0,68.77,100,18000,Weekday,Tuesday,Light_Load
2/1/2018 5:15,3.46,0,67.52,100,18900,Weekday,Tuesday,Light_Load
2/1/2018 5:30,3.67,0,66.97,100,19800,Weekday,Tuesday,Light_Load
2/1/2018 5:45,3.24,0,68.77,100,20700,Weekday,Tuesday,Light_Load
2/1/2018 6:00,3.67,0,67.97,100,21600,Weekday,Tuesday,Light_Load
2/1/2018 6:15,3.53,0,68.25,100,22500,Weekday,Tuesday,Light_Load
2/1/2018 6:30,3.2,0,70.27,100,23400,Weekday,Tuesday,Light_Load
2/1/2018 6:45,3.78,0,68.05,100,24300,Weekday,Tuesday,Light_Load
2/1/2018 7:00,3.35,0,70.71,100,25200,Weekday,Tuesday,Light_Load
2/1/2018 7:15,3.53,0,71.11,100,26100,Weekday,Tuesday,Light_Load
2/1/2018 7:30,6.3,0,80.95,100,27000,Weekday,Tuesday,Light_Load
2/1/2018 7:45,6.05,0,78.4,100,27900,Weekday,Tuesday,Light_Load
2/1/2018 8:00,6.73,0,82.9,100,28800,Weekday,Tuesday,Light_Load
2/1/2018 8:15,29.02,0,83.89,100,29700,Weekday,Tuesday,Light_Load
2/1/2018 8:30,46.19,0,84.97,100,30600,Weekday,Tuesday,Light_Load
2/1/2018 8:45,52.06,0,82.75,100,31500,Weekday,Tuesday,Light_Load
2/1/2018 9:00,56.2,0,97.6,100,32400,Weekday,Tuesday,Light_Load
2/1/2018 9:15,56.84,0,98.95,100,33300,Weekday,Tuesday,Medium_Load
2/1/2018 9:30,51.26,0,99.61,99.98,34200,Weekday,Tuesday,Medium_Load
2/1/2018 9:45,48.13,0,99.88,99.97,35100,Weekday,Tuesday,Medium_Load
2/1/2018 10:00,52.81,0,99.12,99.99,36000,Weekday,Tuesday,Medium_Load
2/1/2018 10:15,54.79,0,99.07,100,36900,Weekday,Tuesday,Maximum_Load
2/1/2018 10:30,53.21,0,98.79,100,37800,Weekday,Tuesday,Maximum_Load
2/1/2018 10:45,80.21,0,92.72,100,38700,Weekday,Tuesday,Maximum_Load
2/1/2018 11:00,77.58,0,95,100,39600,Weekday,Tuesday,Maximum_Load
2/1/2018 11:15,128.52,0,87.57,100,40500,Weekday,Tuesday,Maximum_Load
2/1/2018 11:30,144.47,0,87.87,100,41400,Weekday,Tuesday,Maximum_Load
2/1/2018 11:45,90.86,0,85.84,100,42300,Weekday,Tuesday,Maximum_Load
2/1/2018 12:00,123.3,0,88.15,100,43200,Weekday,Tuesday,Maximum_Load
2/1/2018 12:15,19.22,0,96.09,71.3,44100,Weekday,Tuesday,Medium_Load
2/1/2018 12:30,8.46,0,100,31.03,45000,Weekday,Tuesday,Medium_Load
2/1/2018 12:45,8.24,0,100,30.92,45900,Weekday,Tuesday,Medium_Load
2/1/2018 13:00,8.03,0,100,30.05,46800,Weekday,Tuesday,Medium_Load
2/1/2018 13:15,79.67,0,94.6,99.67,47700,Weekday,Tuesday,Medium_Load
2/1/2018 13:30,97.85,0,90.21,100,48600,Weekday,Tuesday,Medium_Load
2/1/2018 13:45,124.45,0,92.85,100,49500,Weekday,Tuesday,Medium_Load
2/1/2018 14:00,108.61,0,92.88,100,50400,Weekday,Tuesday,Medium_Load
2/1/2018 14:15,123.12,0,91.23,100,51300,Weekday,Tuesday,Medium_Load
2/1/2018 14:30,129.1,0,92.38,100,52200,Weekday,Tuesday,Medium_Load
2/1/2018 14:45,82.08,0,94.79,100,53100,Weekday,Tuesday,Medium_Load
2/1/2018 15:00,143.89,0,92.09,100,54000,Weekday,Tuesday,Medium_Load
2/1/2018 15:15,86.9,0,93.03,100,54900,Weekday,Tuesday,Medium_Load
2/1/2018 15:30,141.44,0,91.45,100,55800,Weekday,Tuesday,Medium_Load
2/1/2018 15:45,116.53,0,91.06,100,56700,Weekday,Tuesday,Medium_Load
2/1/2018 16:00,129.31,0,90.4,100,57600,Weekday,Tuesday,Medium_Load
2/1/2018 16:15,136.44,0,92.33,100,58500,Weekday,Tuesday,Medium_Load
2/1/2018 16:30,85.72,0,92.64,100,59400,Weekday,Tuesday,Medium_Load
2/1/2018 16:45,147.46,0,91.44,100,60300,Weekday,Tuesday,Medium_Load
2/1/2018 17:00,86.94,0,94.27,100,61200,Weekday,Tuesday,Medium_Load
2/1/2018 17:15,67.25,0,93.36,100,62100,Weekday,Tuesday,Maximum_Load
2/1/2018 17:30,115.78,0,91.79,100,63000,Weekday,Tuesday,Maximum_Load
2/1/2018 17:45,113.11,0,95.62,100,63900,Weekday,Tuesday,Maximum_Load
2/1/2018 18:00,76.75,0,98.85,99.99,64800,Weekday,Tuesday,Maximum_Load
2/1/2018 18:15,41.9,0,93.98,100,65700,Weekday,Tuesday,Maximum_Load
2/1/2018 18:30,37.4,0,88.24,100,66600,Weekday,Tuesday,Maximum_Load
2/1/2018 18:45,40.25,0,97.68,99.99,67500,Weekday,Tuesday,Maximum_Load
2/1/2018 19:00,34.92,0,99.84,99.9,68400,Weekday,Tuesday,Maximum_Load
2/1/2018 19:15,41.36,0,98.81,99.99,69300,Weekday,Tuesday,Maximum_Load
2/1/2018 19:30,35.96,0,99.76,99.93,70200,Weekday,Tuesday,Maximum_Load
2/1/2018 19:45,39.42,0,99.11,99.99,71100,Weekday,Tuesday,Maximum_Load
2/1/2018 20:00,38.16,0,99.26,99.99,72000,Weekday,Tuesday,Maximum_Load
2/1/2018 20:15,33.23,0,99.9,99.3,72900,Weekday,Tuesday,Medium_Load
2/1/2018 20:30,25.88,0,100,90.55,73800,Weekday,Tuesday,Medium_Load
2/1/2018 20:45,10.84,0,100,42.3,74700,Weekday,Tuesday,Medium_Load
2/1/2018 21:00,9.29,0,100,36.75,75600,Weekday,Tuesday,Medium_Load
2/1/2018 21:15,6.98,0,100,26.73,76500,Weekday,Tuesday,Medium_Load
2/1/2018 21:30,5.11,0,100,18.93,77400,Weekday,Tuesday,Medium_Load
2/1/2018 21:45,5.08,0,100,18.88,78300,Weekday,Tuesday,Medium_Load
2/1/2018 22:00,5.04,0,100,18.71,79200,Weekday,Tuesday,Medium_Load
2/1/2018 22:15,4.93,0,93.69,30.42,80100,Weekday,Tuesday,Maximum_Load
2/1/2018 22:30,4.64,0,66.44,100,81000,Weekday,Tuesday,Maximum_Load
2/1/2018 22:45,4.68,0,67.04,100,81900,Weekday,Tuesday,Maximum_Load
2/1/2018 23:00,4.68,0,67.54,100,82800,Weekday,Tuesday,Maximum_Load
2/1/2018 23:15,4.57,0,70.94,100,83700,Weekday,Tuesday,Light_Load
2/1/2018 23:30,4.57,0,73.23,100,84600,Weekday,Tuesday,Light_Load
2/1/2018 23:45,4.54,0,73,100,85500,Weekday,Tuesday,Light_Load
2/1/2018 0:00,4.61,0,73.84,100,0,Weekday,Tuesday,Light_Load
3/1/2018 0:15,4.61,0,70.71,100,900,Weekday,Wednesday,Light_Load
3/1/2018 0:30,4.61,0,71.25,100,1800,Weekday,Wednesday,Light_Load
3/1/2018 0:45,4.57,0,71.25,100,2700,Weekday,Wednesday,Light_Load
3/1/2018 1:00,4.57,0,70.4,100,3600,Weekday,Wednesday,Light_Load
3/1/2018 1:15,4.64,0,72.1,100,4500,Weekday,Wednesday,Light_Load
3/1/2018 1:30,4.64,0,71.25,100,5400,Weekday,Wednesday,Light_Load
3/1/2018 1:45,4.61,0,69.34,100,6300,Weekday,Wednesday,Light_Load
3/1/2018 2:00,4.57,0,71.25,100,7200,Weekday,Wednesday,Light_Load
3/1/2018 2:15,4.61,0,72.42,100,8100,Weekday,Wednesday,Light_Load
3/1/2018 2:30,4.64,0,69.88,100,9000,Weekday,Wednesday,Light_Load
3/1/2018 2:45,4.64,0,69.88,100,9900,Weekday,Wednesday,Light_Load
3/1/2018 3:00,4.57,0,69.33,100,10800,Weekday,Wednesday,Light_Load
3/1/2018 3:15,4.64,0,67.22,100,11700,Weekday,Wednesday,Light_Load
3/1/2018 3:30,4.64,0,70.1,100,12600,Weekday,Wednesday,Light_Load
3/1/2018 3:45,4.68,0,70.71,100,13500,Weekday,Wednesday,Light_Load
3/1/2018 4:00,4.57,0,71.57,100,14400,Weekday,Wednesday,Light_Load
3/1/2018 4:15,4.54,0,72.44,100,15300,Weekday,Wednesday,Light_Load
3/1/2018 4:30,4.61,0,71.87,100,16200,Weekday,Wednesday,Light_Load
3/1/2018 4:45,4.57,0,72.67,100,17100,Weekday,Wednesday,Light_Load
3/1/2018 5:00,4.61,0,72.97,100,18000,Weekday,Wednesday,Light_Load
3/1/2018 5:15,4.54,0,73.89,100,18900,Weekday,Wednesday,Light_Load
3/1/2018 5:30,4.57,0,73.55,100,19800,Weekday,Wednesday,Light_Load
3/1/2018 5:45,4.57,0,71.8,100,20700,Weekday,Wednesday,Light_Load
3/1/2018 6:00,4.57,0,71.25,100,21600,Weekday,Wednesday,Light_Load
3/1/2018 6:15,4.64,0,70.94,100,22500,Weekday,Wednesday,Light_Load
3/1/2018 6:30,4.57,0,72.35,100,23400,Weekday,Wednesday,Light_Load
3/1/2018 6:45,4.61,0,71.25,100,24300,Weekday,Wednesday,Light_Load
3/1/2018 7:00,4.54,0,72.76,100,25200,Weekday,Wednesday,Light_Load
3/1/2018 7:15,4.46,0,72.96,100,26100,Weekday,Wednesday,Light_Load
3/1/2018 7:30,6.12,0,82.14,100,27000,Weekday,Wednesday,Light_Load
3/1/2018 7:45,7.92,0,86.09,100,27900,Weekday,Wednesday,Light_Load
3/1/2018 8:00,9.58,0,91.02,100,28800,Weekday,Wednesday,Light_Load
3/1/2018 8:15,37.01,0.02,86.41,100,29700,Weekday,Wednesday,Light_Load
3/1/2018 8:30,74.59,0.03,90.13,100,30600,Weekday,Wednesday,Light_Load
3/1/2018 8:45,109.48,0.05,89.9,100,31500,Weekday,Wednesday,Light_Load
3/1/2018 9:00,105.08,0.05,95.71,100,32400,Weekday,Wednesday,Light_Load
3/1/2018 9:15,121.79,0.06,94.71,100,33300,Weekday,Wednesday,Medium_Load
3/1/2018 9:30,114.48,0.05,96.68,100,34200,Weekday,Wednesday,Medium_Load
3/1/2018 9:45,74.2,0.03,95.89,100,35100,Weekday,Wednesday,Medium_Load
3/1/2018 10:00,54.32,0.02,99.15,100,36000,Weekday,Wednesday,Medium_Load
3/1/2018 10:15,75.17,0.03,94.87,100,36900,Weekday,Wednesday,Maximum_Load
3/1/2018 10:30,58.07,0.03,97.85,100,37800,Weekday,Wednesday,Maximum_Load
3/1/2018 10:45,67.03,0.03,97.56,100,38700,Weekday,Wednesday,Maximum_Load
3/1/2018 11:00,74.59,0.03,92.06,100,39600,Weekday,Wednesday,Maximum_Load
3/1/2018 11:15,57.56,0.03,92.36,100,40500,Weekday,Wednesday,Maximum_Load
3/1/2018 11:30,78.62,0.04,85.32,100,41400,Weekday,Wednesday,Maximum_Load
3/1/2018 11:45,69.16,0.03,84.28,100,42300,Weekday,Wednesday,Maximum_Load
3/1/2018 12:00,74.05,0.03,85.57,100,43200,Weekday,Wednesday,Maximum_Load
3/1/2018 12:15,11.27,0.01,99.9,48.27,44100,Weekday,Wednesday,Medium_Load
3/1/2018 12:30,8.21,0,100,29.89,45000,Weekday,Wednesday,Medium_Load
3/1/2018 12:45,8.14,,100,30.34,45900,Weekday,Wednesday,Medium_Load
3/1/2018 13:00,7.7,0,100,28.66,46800,Weekday,Wednesday,Medium_Load
3/1/2018 13:15,51.26,0.02,92.29,99.3,47700,Weekday,Wednesday,Medium_Load
3/1/2018 13:30,52.7,0.02,96.81,100,48600,Weekday,Wednesday,Medium_Load
3/1/2018 13:45,55.84,0.03,95.55,100,49500,Weekday,Wednesday,Medium_Load
3/1/2018 14:00,57.2,0.03,95.71,100,50400,Weekday,Wednesday,Medium_Load
3/1/2018 14:15,76.57,0.04,92.86,100,51300,Weekday,Wednesday,Medium_Load
3/1/2018 14:30,61.13,0.03,94.83,100,52200,Weekday,Wednesday,Medium_Load
3/1/2018 14:45,66.74,0.03,92.98,100,53100,Weekday,Wednesday,Medium_Load
3/1/2018 15:00,55.8,0.03,95.93,100,54000,Weekday,Wednesday,Medium_Load
3/1/2018 15:15,57.46,0.03,95.31,100,54900,Weekday,Wednesday,Medium_Load
3/1/2018 15:30,71.28,0.03,93.04,100,55800,Weekday,Wednesday,Medium_Load
3/1/2018 15:45,73.15,0.03,93.13,100,56700,Weekday,Wednesday,Medium_Load
3/1/2018 16:00,68.98,0.03,93.66,100,57600,Weekday,Wednesday,Medium_Load
3/1/2018 16:15,85,0.04,95.05,100,58500,Weekday,Wednesday,Medium_Load
3/1/2018 16:30,116.53,0.05,94.1,100,59400,Weekday,Wednesday,Medium_Load
3/1/2018 16:45,118.62,0.05,94.98,100,60300,Weekday,Wednesday,Medium_Load
3/1/2018 17:00,105.05,0.05,94.7,100,61200,Weekday,Wednesday,Medium_Load
3/1/2018 17:15,140.51,0.06,93.57,100,62100,Weekday,Wednesday,Maximum_Load
3/1/2018 17:30,114.01,0.05,94.06,100,63000,Weekday,Wednesday,Maximum_Load
3/1/2018 17:45,125.96,0.06,95.48,100,63900,Weekday,Wednesday,Maximum_Load
3/1/2018 18:00,73.62,0.03,98.42,99.97,64800,Weekday,Wednesday,Maximum_Load
3/1/2018 18:15,36.22,0.02,94.33,99.99,65700,Weekday,Wednesday,Maximum_Load
3/1/2018 18:30,39.82,0.02,90.75,100,66600,Weekday,Wednesday,Maximum_Load
3/1/2018 18:45,37.08,0.02,99.37,99.86,67500,Weekday,Wednesday,Maximum_Load
3/1/2018 19:00,42.98,0.02,99.2,100,68400,Weekday,Wednesday,Maximum_Load
3/1/2018 19:15,37.94,0.02,99.97,99.91,69300,Weekday,Wednesday,Maximum_Load
3/1/2018 19:30,39.71,0.02,99.56,99.98,70200,Weekday,Wednesday,Maximum_Load
3/1/2018 19:45,43.2,0.02,99.14,100,71100,Weekday,Wednesday,Maximum_Load
3/1/2018 20:00,37.33,0.02,99.95,99.9,72000,Weekday,Wednesday,Maximum_Load
3/1/2018 20:15,41,0.02,99.07,99.99,72900,Weekday,Wednesday,Medium_Load
3/1/2018 20:30,37.3,0.02,99.7,99.95,73800,Weekday,Wednesday,Medium_Load
3/1/2018 20:45,32.72,0.02,99.81,97.8,74700,Weekday,Wednesday,Medium_Load
3/1/2018 21:00,9.83,0,100,38.13,75600,Weekday,Wednesday,Medium_Load
3/1/2018 21:15,7.96,0,100,30.56,76500,Weekday,Wednesday,Medium_Load
3/1/2018 21:30,5.44,0,100,19.88,77400,Weekday,Wednesday,Medium_Load
3/1/2018 21:45,5.11,0,100,18.74,78300,Weekday,Wednesday,Medium_Load
3/1/2018 22:00,5.18,0,100,18.99,79200,Weekday,Wednesday,Medium_Load
3/1/2018 22:15,4.97,0,93.34,31.15,80100,Weekday,Wednesday,Maximum_Load
3/1/2018 22:30,4.75,0,67.02,100,81000,Weekday,Wednesday,Maximum_Load
3/1/2018 22:45,4.64,0,66.94,100,81900,Weekday,Wednesday,Maximum_Load
3/1/2018 23:00,4.64,0,68.24,100,82800,Weekday,Wednesday,Maximum_Load
3/1/2018 23:15,4.72,0,73.22,100,83700,Weekday,Wednesday,Light_Load
3/1/2018 23:30,4.61,0,73.52,100,84600,Weekday,Wednesday,Light_Load
3/1/2018 23:45,4.57,0,71.8,100,85500,Weekday,Wednesday,Light_Load
3/1/2018 0:00,4.57,0,71.25,100,0,Weekday,Wednesday,Light_Load
4/1/2018 0:15,4.61,0,71.02,100,900,Weekday,Thursday,Light_Load
4/1/2018 0:30,4.64,0,71.25,100,1800,Weekday,Thursday,Light_Load
4/1/2018 0:45,4.64,0,70.41,100,2700,Weekday,Thursday,Light_Load
4/1/2018 1:00,4.61,0,69.34,100,3600,Weekday,Thursday,Light_Load
4/1/2018 1:15,4.61,0,70.48,100,4500,Weekday,Thursday,Light_Load
4/1/2018 1:30,4.61,0,68.3,100,5400,Weekday,Thursday,Light_Load
4/1/2018 1:45,4.68,0,71.01,100,6300,Weekday,Thursday,Light_Load
4/1/2018 2:00,4.64,0,69.58,100,7200,Weekday,Thursday,Light_Load
4/1/2018 2:15,4.61,0,69.65,100,8100,Weekday,Thursday,Light_Load
4/1/2018 2:30,4.64,0,68.76,100,9000,Weekday,Thursday,Light_Load
4/1/2018 2:45,4.61,0,68.52,100,9900,Weekday,Thursday,Light_Load
4/1/2018 3:00,4.68,0,68.85,100,10800,Weekday,Thursday,Light_Load
4/1/2018 3:15,4.68,0,68.34,100,11700,Weekday,Thursday,Light_Load
4/1/2018 3:30,4.61,0,68.82,100,12600,Weekday,Thursday,Light_Load
4/1/2018 3:45,4.61,0,68.82,100,13500,Weekday,Thursday,Light_Load
4/1/2018 4:00,4.68,0,67.25,100,14400,Weekday,Thursday,Light_Load
4/1/2018 4:15,4.61,0,69.87,100,15300,Weekday,Thursday,Light_Load
4/1/2018 4:30,4.64,0,70.1,100,16200,Weekday,Thursday,Light_Load
4/1/2018 4:45,4.64,0,71.48,100,17100,Weekday,Thursday,Light_Load
4/1/2018 5:00,4.61,0,70.48,100,18000,Weekday,Thursday,Light_Load
4/1/2018 5:15,4.61,0,71.56,100,18900,Weekday,Thursday,Light_Load
4/1/2018 5:30,4.64,0,71.79,100,19800,Weekday,Thursday,Light_Load
4/1/2018 5:45,4.61,0,72.42,100,20700,Weekday,Thursday,Light_Load
4/1/2018 6:00,4.61,0,71.25,100,21600,Weekday,Thursday,Light_Load
4/1/2018 6:15,4.61,0,70.48,100,22500,Weekday,Thursday,Light_Load
4/1/2018 6:30,4.64,0,69.35,100,23400,Weekday,Thursday,Light_Load
4/1/2018 6:45,4.57,0,69.86,100,24300,Weekday,Thursday,Light_Load
4/1/2018 7:00,4.64,0,71.25,100,25200,Weekday,Thursday,Light_Load
4/1/2018 7:15,4.54,0,70.17,100,26100,Weekday,Thursday,Light_Load
4/1/2018 7:30,5.36,0,74.56,100,27000,Weekday,Thursday,Light_Load
4/1/2018 7:45,7.06,0,82.15,100,27900,Weekday,Thursday,Light_Load
4/1/2018 8:00,7.81,0,85.78,100,28800,Weekday,Thursday,Light_Load
